Date,^NSEI Open,^NSEI High,^NSEI Low,^NSEI Close,^NSEI Adj Close,BAJFINANCE.NS Open,BAJFINANCE.NS High,BAJFINANCE.NS Low,BAJFINANCE.NS Close,BAJFINANCE.NS Adj Close,HDFCBANK.NS Open,HDFCBANK.NS High,HDFCBANK.NS Low,HDFCBANK.NS Close,HDFCBANK.NS Adj Close,INFY.NS Open,INFY.NS High,INFY.NS Low,INFY.NS Close,INFY.NS Adj Close,NESTLEIND.NS Open,NESTLEIND.NS High,NESTLEIND.NS Low,NESTLEIND.NS Close,NESTLEIND.NS Adj Close
23/03/2021,14768.54981,14878.59961,14707,14814.75,14814.75,5410,5445,5350,5378.799805,5370.122559,1470,1507.449951,1469.099976,1500.150024,1493.685303,1372.449951,1383.25,1359.599976,1371.550049,1344.987915,16575,16750,16506.40039,16681.34961,16493.47852
24/03/2021,14712.4502,14752.34961,14535,14549.40039,14549.40039,5374,5374,5260,5270.299805,5261.797363,1490.900024,1506.449951,1471,1478.800049,1472.427368,1357.849976,1370.449951,1346.25,1353.75,1327.532471,16600,16769.80078,16419.25,16448.09961,16262.85547
25/03/2021,14570.90039,14575.59961,14264.40039,14324.90039,14324.90039,5280,5300,5103.149902,5122.200195,5113.936523,1490.199951,1495.550049,1450.25,1463.349976,1457.043823,1346.75,1352.5,1327.599976,1333.800049,1307.968994,16425,16584.5,16116,16170.09961,15987.98633
26/03/2021,14506.29981,14572.90039,14414.25,14507.29981,14507.29981,5170,5248,5135,5183.049805,5174.687988,1494,1499,1474,1491.300049,1484.873535,1344.699951,1356.699951,1332,1336.199951,1310.322388,16299,16618.44922,16254,16571.75,16385.11328
30/03/2021,14628.5,14876.29981,14617.59961,14845.09961,14845.09961,5234.850098,5260,5150,5193.549805,5185.171387,1506.650024,1562.550049,1501.550049,1553.699951,1547.004517,1346.900024,1400,1336.150024,1385.300049,1358.471558,16610,17253.55078,16610,17165,16971.68164
31/03/2021,14811.84961,14813.75,14670.25,14690.7002,14690.7002,5185,5218.799805,5122.950195,5149.850098,5141.541992,1548,1548,1488,1493.650024,1487.213379,1382,1388,1363.300049,1368.050049,1341.555664,17299,17299,16951.55078,17165.19922,16971.87891
01/04/2021,14798.40039,14883.2002,14692.4502,14867.34961,14867.34961,5210,5288.5,5161.950195,5272.149902,5263.644531,1499.400024,1499.400024,1465,1486.75,1480.343018,1380,1391.599976,1371,1385.199951,1358.373413,17165.19922,17188.55078,16967.59961,17083.15039,16890.75391
05/04/2021,14837.7002,14849.84961,14459.5,14637.79981,14637.79981,5259,5259,4920.600098,4962.5,4954.494141,1480,1485,1431,1449.599976,1443.353149,1391,1425,1387,1409.900024,1382.595215,17150,17150,16723.90039,16880.55078,16690.43555
06/04/2021,14737,14779.09961,14573.90039,14683.5,14683.5,5050,5059.450195,4952.600098,4993.100098,4985.044922,1460,1462.650024,1432.650024,1440.25,1434.043457,1423,1426,1406.449951,1411.050049,1383.7229,16910,17120,16800,17081.69922,16889.31836
07/04/2021,14716.4502,14879.79981,14649.84961,14819.04981,14819.04981,4980,5109,4940,5077.100098,5068.90918,1439.300049,1456.699951,1421.550049,1447.199951,1440.963501,1410.25,1434.949951,1406.599976,1430.199951,1402.501831,17100,17865.94922,17025,17409.84961,17213.77344
08/04/2021,14875.65039,14984.15039,14821.09961,14873.79981,14873.79981,5100,5115,5015,5029.5,5021.38623,1453,1460.900024,1430.5,1432.800049,1426.62561,1430,1451.699951,1421,1439.849976,1411.964966,17425.05078,17759,17326.84961,17689.90039,17490.66992
09/04/2021,14882.65039,14918.4502,14785.65039,14834.84961,14834.84961,5000,5010,4845,4872.299805,4864.439453,1426,1432.800049,1415.099976,1421.75,1415.623169,1455,1455,1430.050049,1441.050049,1413.141846,17611.09961,17849,17500,17592.40039,17394.26758
12/04/2021,14644.65039,14652.5,14248.7002,14310.79981,14310.79981,4740,4740,4400,4511,4503.722656,1393,1399,1353,1367.050049,1361.158936,1474,1477.550049,1415,1425.75,1398.138184,17375.15039,17620,17341.09961,17501.69922,17304.58984
13/04/2021,14364.90039,14528.90039,14274.90039,14504.79981,14504.79981,4535.100098,4774.899902,4514.049805,4728.75,4721.121094,1368,1406.449951,1361,1400.349976,1394.31543,1433,1435.25,1375,1397.150024,1370.092041,17587,17599.94922,17040.09961,17168.84961,16975.48828
15/04/2021,14522.40039,14597.54981,14353.2002,14581.4502,14581.4502,4708.100098,4750,4566.100098,4660.299805,4652.781738,1405,1436.699951,1391,1430.099976,1423.937134,1332.300049,1366.400024,1320,1360.75,1334.396973,17325,17400,16775,16875.65039,16685.5918
16/04/2021,14599.59961,14697.7002,14559,14617.84961,14617.84961,4661,4690,4590,4616.600098,4609.152344,1434.949951,1445,1423.5,1428.650024,1422.493408,1365,1370.849976,1346.599976,1353.75,1327.532471,16969,17335,16862.80078,17252.09961,17057.80078
19/04/2021,14306.59961,14382.29981,14191.40039,14359.4502,14359.4502,4450,4504,4362,4479.600098,4472.373535,1390,1417.699951,1372.300049,1412.400024,1406.313477,1340,1379.699951,1332.349976,1362.550049,1336.162231,17201.05078,17240,16950,17089.94922,16897.47461
20/04/2021,14526.7002,14526.9502,14207.29981,14296.40039,14296.40039,4563,4699,4555.200195,4613.649902,4606.207031,1425,1426.400024,1383.949951,1391.400024,1385.403931,1379,1379,1342.400024,1351.349976,1325.178955,17420,17420,16890.05078,17095.65039,16903.11328
22/04/2021,14219.15039,14424.75,14151.40039,14406.15039,14406.15039,4550,4714,4505.75,4688.700195,4681.13623,1380,1426.800049,1371.050049,1422.5,1416.369995,1355.550049,1364.800049,1345.150024,1351.099976,1324.933838,17190,17190,16551.25,16790.44922,16601.34961
